,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
0,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624 ","$936,662,225 ",45.30%,"$1,131,561,399 ",54.70%
1,Jurassic World,"$1,670,400,637 ","$652,270,625 ",39%,"$1,018,130,012 ",61%
2,Furious 7,"$1,515,047,671 ","$353,007,020 ",23.30%,"$1,162,040,651 ",76.70%
3,Avengers: Age of Ultron,"$1,402,805,868 ","$459,005,868 ",32.70%,"$943,800,000 ",67.30%
4,Minions,"$1,159,398,397 ","$336,045,770 ",29%,"$823,352,627 ",71%
5,Spectre,"$880,674,609 ","$200,074,609 ",22.70%,"$680,600,000 ",77.30%
6,Batman v Superman: Dawn of Justice,"$873,634,919 ","$330,360,194 ",37.80%,"$543,274,725 ",62.20%
7,Inside Out,"$857,611,174 ","$356,461,711 ",41.60%,"$501,149,463 ",58.40%
8,Mission: Impossible - Rogue Nation,"$682,714,267 ","$195,042,377 ",28.60%,"$487,671,890 ",71.40%
9,The Hunger Games: Mockingjay - Part 2,"$653,428,261 ","$281,723,902 ",43.10%,"$371,704,359 ",56.90%
10,The Martian,"$630,161,890 ","$228,433,663 ",36.20%,"$401,728,227 ",63.80%
11,Fifty Shades of Grey,"$569,651,467 ","$166,167,230 ",29.20%,"$403,484,237 ",70.80%
12,Cinderella,"$542,351,353 ","$201,151,353 ",37.10%,"$341,200,000 ",62.90%
13,The Revenant,"$532,950,503 ","$183,637,894 ",34.50%,"$349,312,609 ",65.50%
14,Ant-Man,"$519,311,965 ","$180,202,163 ",34.70%,"$339,109,802 ",65.30%
15,Hotel Transylvania 2,"$474,800,000 ","$169,700,110 ",35.70%,"$305,099,890 ",64.30%
16,San Andreas,"$473,990,832 ","$155,190,832 ",32.70%,"$318,800,000 ",67.30%
17,Terminator Genisys,"$440,603,537 ","$89,760,956 ",20.40%,"$350,842,581 ",79.60%
18,Kingsman: The Secret Service,"$414,351,546 ","$128,261,724 ",31%,"$286,089,822 ",69%
19,Home,"$386,041,607 ","$177,397,510 ",46%,"$208,644,097 ",54%
20,Monster Hunt,"$385,284,817 ","$32,766 ",<0.1%,"$385,252,051 ",100%
21,Mad Max: Fury Road,"$374,736,354 ","$153,636,354 ",41%,"$221,100,000 ",59%
22,The Good Dinosaur,"$332,207,671 ","$123,087,120 ",37.10%,"$209,120,551 ",62.90%
23,Taken 3,"$326,479,141 ","$89,256,424 ",27.30%,"$237,222,717 ",72.70%
24,The SpongeBob Movie: Sponge Out of Water,"$325,186,032 ","$162,994,032 ",50.10%,"$162,192,000 ",49.90%
25,Maze Runner: The Scorch Trials,"$312,296,056 ","$81,697,192 ",26.20%,"$230,598,864 ",73.80%
26,Insurgent,"$297,002,527 ","$130,179,072 ",43.80%,"$166,823,455 ",56.20%
27,Pitch Perfect 2,"$287,144,079 ","$184,296,230 ",64.20%,"$102,847,849 ",35.80%
28,Mojin - The Lost Legend,"$259,368,448 ","$1,243,810 ",0.50%,"$258,124,638 ",99.50%
29,Lost in Hong Kong,"$256,283,912 ","$1,302,281 ",0.50%,"$254,981,631 ",99.50%
30,The Peanuts Movie,"$246,233,113 ","$130,178,411 ",52.90%,"$116,054,702 ",47.10%
31,Pixels,"$244,874,809 ","$78,747,585 ",32.20%,"$166,127,224 ",67.80%
32,Daddy's Home,"$242,786,137 ","$150,357,137 ",61.90%,"$92,429,000 ",38.10%
33,Spy,"$235,666,219 ","$110,825,712 ",47%,"$124,840,507 ",53%
34,Alvin and the Chipmunks: The Road Chip,"$234,798,636 ","$85,886,987 ",36.60%,"$148,911,649 ",63.40%
35,Goodbye Mr. Loser,"$228,122,928 ","$1,293,626 ",0.60%,"$226,829,302 ",99.40%
36,Ted 2,"$215,863,606 ","$81,476,385 ",37.70%,"$134,387,221 ",62.30%
37,Tomorrowland,"$209,035,668 ","$93,436,322 ",44.70%,"$115,599,346 ",55.30%
38,Everest,"$203,427,584 ","$43,482,270 ",21.40%,"$159,945,314 ",78.60%
39,Straight Outta Compton,"$201,634,991 ","$161,197,785 ",79.90%,"$40,437,206 ",20.10%
