Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889 ","$620,181,382 ",46.50%,"$712,358,507 ",53.50%
2,Beauty and the Beast,"$1,263,521,126 ","$504,014,165 ",39.90%,"$759,506,961 ",60.10%
3,The Fate of the Furious,"$1,236,005,118 ","$226,008,385 ",18.30%,"$1,009,996,733 ",81.70%
4,Despicable Me 3,"$1,034,799,409 ","$264,624,300 ",25.60%,"$770,175,109 ",74.40%
5,Jumanji: Welcome to the Jungle,"$962,077,546 ","$404,515,480 ",42%,"$557,562,066 ",58%
6,Spider-Man: Homecoming,"$880,166,924 ","$334,201,140 ",38%,"$545,965,784 ",62%
7,Wolf Warrior 2,"$870,325,439 ","$2,721,100 ",0.30%,"$867,604,339 ",99.70%
8,Guardians of the Galaxy Vol. 2,"$863,756,051 ","$389,813,101 ",45.10%,"$473,942,950 ",54.90%
9,Thor: Ragnarok,"$853,977,126 ","$315,058,289 ",36.90%,"$538,918,837 ",63.10%
10,Wonder Woman,"$821,847,012 ","$412,563,408 ",50.20%,"$409,283,604 ",49.80%
11,Coco,"$807,082,196 ","$209,726,015 ",26%,"$597,356,181 ",74%
12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794 ","$172,558,876 ",21.70%,"$622,302,918 ",78.30%
13,It,"$700,381,748 ","$327,481,748 ",46.80%,"$372,900,000 ",53.20%
14,Justice League,"$657,924,295 ","$229,024,295 ",34.80%,"$428,900,000 ",65.20%
15,Logan,"$619,021,436 ","$226,277,068 ",36.60%,"$392,744,368 ",63.40%
16,Transformers: The Last Knight,"$605,425,157 ","$130,168,683 ",21.50%,"$475,256,474 ",78.50%
17,Kong: Skull Island,"$566,652,812 ","$168,052,812 ",29.70%,"$398,600,000 ",70.30%
18,The Boss Baby,"$527,965,936 ","$175,003,033 ",33.10%,"$352,962,903 ",66.90%
19,Dunkirk,"$525,245,546 ","$188,045,546 ",35.80%,"$337,200,000 ",64.20%
20,War for the Planet of the Apes,"$490,719,763 ","$146,880,162 ",29.90%,"$343,839,601 ",70.10%
21,The Greatest Showman,"$434,993,183 ","$174,340,174 ",40.10%,"$260,653,009 ",59.90%
22,Kingsman: The Golden Circle,"$410,902,662 ","$100,234,838 ",24.40%,"$310,667,824 ",75.60%
23,The Mummy,"$409,231,607 ","$80,227,895 ",19.60%,"$329,003,712 ",80.40%
24,Cars 3,"$383,930,656 ","$152,901,115 ",39.80%,"$231,029,541 ",60.20%
25,Fifty Shades Darker,"$381,545,846 ","$114,581,250 ",30%,"$266,964,596 ",70%
26,Murder on the Orient Express,"$352,789,811 ","$102,826,543 ",29.10%,"$249,963,268 ",70.90%
27,xXx: Return of Xander Cage,"$346,118,277 ","$44,898,413 ",13%,"$301,219,864 ",87%
28,The Lego Batman Movie,"$311,950,384 ","$175,750,384 ",56.30%,"$136,200,000 ",43.70%
29,The Ex-File 3: The Return of The Exes,"$307,592,427 ","$838,959 ",0.30%,"$306,753,468 ",99.70%
30,Annabelle: Creation,"$306,515,884 ","$102,092,201 ",33.30%,"$204,423,683 ",66.70%
31,Wonder,"$305,937,718 ","$132,422,809 ",43.30%,"$173,514,909 ",56.70%
32,Ferdinand,"$296,069,199 ","$84,410,380 ",28.50%,"$211,658,819 ",71.50%
33,Split,"$278,454,358 ","$138,291,365 ",49.70%,"$140,162,993 ",50.30%
34,Blade Runner 2049,"$259,239,658 ","$92,054,159 ",35.50%,"$167,185,499 ",64.50%
35,Get Out,"$255,407,969 ","$176,040,665 ",68.90%,"$79,367,304 ",31.10%
36,Kung Fu Yoga,"$254,212,245 ","$362,657 ",0.10%,"$253,849,588 ",99.90%
37,Baahubali 2: The Conclusion,"$254,158,390 ","$20,186,659 ",7.90%,"$233,971,731 ",92.10%
38,Journey to the West: The Demons Strike Back,"$246,620,398 ","$880,346 ",0.40%,"$245,740,052 ",99.60%
39,Alien: Covenant,"$240,891,763 ","$74,262,031 ",30.80%,"$166,629,732 ",69.20%
40,Paddington 2,"$227,331,938 ","$40,891,591 ",18%,"$186,440,347 ",82%
41,Youth,"$227,091,290 ","$1,891,956 ",0.80%,"$225,199,334 ",99.20%
42,Baby Driver,"$226,945,087 ","$107,825,862 ",47.50%,"$119,119,225 ",52.50%
