Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
1,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ",30.70%,"$1,939,427,564 ",69.30%,2019
2,Avatar,"$2,789,968,301 ","$760,507,625 ",27.30%,"$2,029,460,676 ",72.70%,2009
3,Titanic,"$2,187,463,944 ","$659,363,944 ",30.10%,"$1,528,100,000 ",69.90%,1997
4,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624 ","$936,662,225 ",45.30%,"$1,131,561,399 ",54.70%,2015
5,Avengers: Infinity War,"$2,048,359,754 ","$678,815,482 ",33.10%,"$1,369,544,272 ",66.90%,2018
6,Jurassic World,"$1,670,400,637 ","$652,270,625 ",39%,"$1,018,130,012 ",61%,2015
7,The Lion King,"$1,656,310,290 ","$543,635,236 ",32.80%,"$1,112,675,054 ",67.20%,2019
8,The Avengers,"$1,518,812,988 ","$623,357,910 ",41%,"$895,455,078 ",59%,2012
9,Furious Seven,"$1,515,047,671 ","$353,007,020 ",23.30%,"$1,162,040,651 ",76.70%,2015
10,Avengers: Age of Ultron,"$1,402,805,868 ","$459,005,868 ",32.70%,"$943,800,000 ",67.30%,2015
11,Black Panther,"$1,346,913,161 ","$700,059,566 ",52%,"$646,853,595 ",48%,2018
12,Harry Potter and the Deathly Hallows: Part 2,"$1,341,932,398 ","$381,409,310 ",28.40%,"$960,523,088 ",71.60%,2011
13,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889 ","$620,181,382 ",46.50%,"$712,358,507 ",53.50%,2017
14,Jurassic World: Fallen Kingdom,"$1,308,467,944 ","$417,719,760 ",31.90%,"$890,748,184 ",68.10%,2018
15,Frozen,"$1,274,219,009 ","$400,738,009 ",31.40%,"$873,481,000 ",68.60%,2013
16,Beauty and the Beast,"$1,263,521,126 ","$504,014,165 ",39.90%,"$759,506,961 ",60.10%,2017
17,Incredibles 2,"$1,242,805,359 ","$608,581,744 ",49%,"$634,223,615 ",51%,2018
18,The Fate of the Furious,"$1,236,005,118 ","$226,008,385 ",18.30%,"$1,009,996,733 ",81.70%,2017
19,Iron Man Three,"$1,214,811,252 ","$409,013,994 ",33.70%,"$805,797,258 ",66.30%,2013
20,Minions,"$1,159,398,397 ","$336,045,770 ",29%,"$823,352,627 ",71%,2015
21,Captain America: Civil War,"$1,153,296,293 ","$408,084,349 ",35.40%,"$745,211,944 ",64.60%,2016
22,Aquaman,"$1,148,161,807 ","$335,061,807 ",29.20%,"$813,100,000 ",70.80%,2018
23,Spider-Man: Far from Home,"$1,131,927,996 ","$390,532,085 ",34.50%,"$741,395,911 ",65.50%,2019
24,Captain Marvel,"$1,128,274,794 ","$426,829,839 ",37.80%,"$701,444,955 ",62.20%,2019
25,Transformers: Dark of the Moon,"$1,123,794,079 ","$352,390,543 ",31.40%,"$771,403,536 ",68.60%,2011
26,The Lord of the Rings: The Return of the King,"$1,120,424,614 ","$377,845,905 ",33.70%,"$742,578,709 ",66.30%,2003
27,Skyfall,"$1,108,561,013 ","$304,360,277 ",27.50%,"$804,200,736 ",72.50%,2012
28,Transformers: Age of Extinction,"$1,104,054,072 ","$245,439,076 ",22.20%,"$858,614,996 ",77.80%,2014
29,The Dark Knight Rises,"$1,081,041,287 ","$448,139,099 ",41.40%,"$632,902,188 ",58.60%,2012
30,Toy Story 4,"$1,073,392,661 ","$434,036,076 ",40.40%,"$639,356,585 ",59.60%,2019
31,Toy Story 3,"$1,066,969,703 ","$415,004,880 ",38.90%,"$651,964,823 ",61.10%,2010
32,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725 ","$423,315,812 ",39.70%,"$642,863,913 ",60.30%,2006
33,Rogue One,"$1,056,057,273 ","$532,177,324 ",50.40%,"$523,879,949 ",49.60%,2016
34,Aladdin,"$1,050,693,953 ","$355,559,216 ",33.80%,"$695,134,737 ",66.20%,2019
35,Joker,"$1,049,054,740 ","$330,654,740 ",31.50%,"$718,400,000 ",68.50%,2019
36,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802 ","$241,071,802 ",23%,"$804,642,000 ",77%,2011
37,Despicable Me 3,"$1,034,799,409 ","$264,624,300 ",25.60%,"$770,175,109 ",74.40%,2017
38,Jurassic Park,"$1,030,314,141 ","$402,828,120 ",39.10%,"$627,486,021 ",60.90%,1993
39,Finding Dory,"$1,028,570,889 ","$486,295,561 ",47.30%,"$542,275,328 ",52.70%,2016
40,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707 ","$474,544,677 ",46.20%,"$552,538,030 ",53.80%,1999
41,Alice in Wonderland,"$1,025,467,110 ","$334,191,110 ",32.60%,"$691,276,000 ",67.40%,2010
42,Zootopia,"$1,023,784,195 ","$341,268,248 ",33.30%,"$682,515,947 ",66.70%,2016
43,The Hobbit: An Unexpected Journey,"$1,017,003,568 ","$303,003,568 ",29.80%,"$714,000,000 ",70.20%,2012
44,The Dark Knight,"$1,004,934,033 ","$535,234,033 ",53.30%,"$469,700,000 ",46.70%,2008
45,Harry Potter and the Sorcerer's Stone,"$978,087,613 ","$318,087,620 ",32.50%,"$659,999,993 ",67.50%,2001
46,Despicable Me 2,"$970,766,005 ","$368,065,385 ",37.90%,"$602,700,620 ",62.10%,2013
47,The Lion King,"$968,511,805 ","$422,783,777 ",43.60%,"$545,728,028 ",56.40%,1994
48,The Jungle Book,"$966,550,600 ","$364,001,123 ",37.70%,"$602,549,477 ",62.30%,2016
49,Jumanji: Welcome to the Jungle,"$962,102,237 ","$404,540,171 ",42%,"$557,562,066 ",58%,2017
50,Pirates of the Caribbean: At World's End,"$960,996,492 ","$309,420,425 ",32.20%,"$651,576,067 ",67.80%,2007
51,Harry Potter and the Deathly Hallows: Part 1,"$960,666,490 ","$296,347,721 ",30.80%,"$664,318,769 ",69.20%,2010
52,The Hobbit: The Desolation of Smaug,"$958,366,855 ","$258,366,855 ",27%,"$700,000,000 ",73%,2013
53,The Hobbit: The Battle of the Five Armies,"$956,019,788 ","$255,119,788 ",26.70%,"$700,900,000 ",73.30%,2014
54,Finding Nemo,"$940,343,261 ","$380,843,261 ",40.50%,"$559,500,000 ",59.50%,2003
55,Harry Potter and the Order of the Phoenix,"$938,580,405 ","$292,353,413 ",31.20%,"$646,226,992 ",68.80%,2007
56,Harry Potter and the Half-Blood Prince,"$934,326,396 ","$302,305,431 ",32.40%,"$632,020,965 ",67.60%,2009
57,The Lord of the Rings: The Two Towers,"$927,600,630 ","$342,551,365 ",36.90%,"$585,049,265 ",63.10%,2002
58,Shrek 2,"$923,075,336 ","$441,226,247 ",47.80%,"$481,849,089 ",52.20%,2004
59,Bohemian Rhapsody,"$903,655,259 ","$216,428,042 ",24%,"$687,227,217 ",76%,2018
60,Harry Potter and the Goblet of Fire,"$896,346,229 ","$290,417,905 ",32.40%,"$605,928,324 ",67.60%,2005
61,Spider-Man 3,"$890,871,626 ","$336,530,303 ",37.80%,"$554,341,323 ",62.20%,2007
62,Ice Age: Dawn of the Dinosaurs,"$886,686,817 ","$196,573,705 ",22.20%,"$690,113,112 ",77.80%,2009
63,Spectre,"$880,674,609 ","$200,074,609 ",22.70%,"$680,600,000 ",77.30%,2015
64,Spider-Man: Homecoming,"$880,166,924 ","$334,201,140 ",38%,"$545,965,784 ",62%,2017
65,Harry Potter and the Chamber of Secrets,"$879,465,594 ","$262,450,136 ",29.80%,"$617,015,458 ",70.20%,2002
66,Ice Age: Continental Drift,"$877,244,782 ","$161,321,843 ",18.40%,"$715,922,939 ",81.60%,2012
67,The Secret Life of Pets,"$875,457,937 ","$368,384,330 ",42.10%,"$507,073,607 ",57.90%,2016
68,Batman v Superman: Dawn of Justice,"$873,634,919 ","$330,360,194 ",37.80%,"$543,274,725 ",62.20%,2015
69,The Lord of the Rings: The Fellowship of the Ring,"$872,491,916 ","$315,544,750 ",36.20%,"$556,947,166 ",63.80%,2001
70,Zhan lang II,"$870,325,439 ","$2,721,100 ",0.30%,"$867,604,339 ",99.70%,2017
71,The Hunger Games: Catching Fire,"$865,011,746 ","$424,668,047 ",49.10%,"$440,343,699 ",50.90%,2013
72,Guardians of the Galaxy Vol. 2,"$863,756,051 ","$389,813,101 ",45.10%,"$473,942,950 ",54.90%,2017
73,Inside Out,"$857,611,174 ","$356,461,711 ",41.60%,"$501,149,463 ",58.40%,2015
74,Venom,"$856,085,151 ","$213,515,506 ",24.90%,"$642,569,645 ",75.10%,2018
75,Thor: Ragnarok,"$853,977,126 ","$315,058,289 ",36.90%,"$538,918,837 ",63.10%,2017
76,Star Wars: Episode III - Revenge of the Sith,"$850,035,635 ","$380,270,577 ",44.70%,"$469,765,058 ",55.30%,2005
77,Transformers: Revenge of the Fallen,"$836,303,693 ","$402,111,870 ",48.10%,"$434,191,823 ",51.90%,2009
78,Inception,"$829,895,144 ","$292,576,195 ",35.20%,"$537,318,949 ",64.80%,2010
79,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820 ","$292,324,737 ",35.20%,"$537,422,083 ",64.80%,2012
80,The Matrix Reloaded,"$828,774,235 ","$281,576,461 ",34%,"$547,197,774 ",66%,2003
81,Spider-Man,"$825,025,036 ","$407,022,860 ",49.30%,"$418,002,176 ",50.70%,2002
82,Wonder Woman,"$821,847,012 ","$412,563,408 ",50.20%,"$409,283,604 ",49.80%,2017
83,Independence Day,"$817,400,891 ","$306,169,268 ",37.50%,"$511,231,623 ",62.50%,1996
84,Fantastic Beasts and Where to Find Them,"$814,037,575 ","$234,037,575 ",28.80%,"$580,000,000 ",71.20%,2016
85,Coco,"$807,082,196 ","$209,726,015 ",26%,"$597,356,181 ",74%,2017
86,Shrek the Third,"$804,438,141 ","$322,719,944 ",40.10%,"$481,718,197 ",59.90%,2007
87,Harry Potter and the Prisoner of Azkaban,"$796,093,802 ","$249,975,996 ",31.40%,"$546,117,806 ",68.60%,2004
88,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794 ","$172,558,876 ",21.70%,"$622,302,918 ",78.30%,2017
89,E.T. the Extra-Terrestrial,"$792,910,554 ","$435,110,554 ",54.90%,"$357,800,000 ",45.10%,1982
90,Mission: Impossible - Fallout,"$791,115,104 ","$220,159,104 ",27.80%,"$570,956,000 ",72.20%,2018
91,Furious 6,"$788,679,850 ","$238,679,850 ",30.30%,"$550,000,000 ",69.70%,2013
92,2012,"$788,550,900 ","$166,112,167 ",21.10%,"$622,438,733 ",78.90%,2009
93,Indiana Jones and the Kingdom of the Crystal Skull,"$786,636,033 ","$317,101,119 ",40.30%,"$469,534,914 ",59.70%,2008
94,Deadpool 2,"$785,046,920 ","$324,591,735 ",41.40%,"$460,455,185 ",58.60%,2018
95,Spider-Man 2,"$783,766,341 ","$373,585,825 ",47.70%,"$410,180,516 ",52.30%,2004
96,Deadpool,"$782,612,155 ","$363,070,709 ",46.40%,"$419,541,446 ",53.60%,2016
97,Star Wars,"$775,512,064 ","$460,998,507 ",59.40%,"$314,513,557 ",40.60%,1977
98,Guardians of the Galaxy,"$772,776,600 ","$333,176,600 ",43.10%,"$439,600,000 ",56.90%,2014
99,Fast & Furious Presents: Hobbs & Shaw,"$758,910,100 ","$173,810,100 ",22.90%,"$585,100,000 ",77.10%,2019
100,Maleficent,"$758,410,378 ","$241,410,378 ",31.80%,"$517,000,000 ",68.20%,2014
101,The Da Vinci Code,"$758,239,851 ","$217,536,138 ",28.70%,"$540,703,713 ",71.30%,2006
102,The Amazing Spider-Man,"$757,930,663 ","$262,030,663 ",34.60%,"$495,900,000 ",65.40%,2012
103,The Hunger Games: Mockingjay - Part 1,"$755,356,711 ","$337,135,885 ",44.60%,"$418,220,826 ",55.40%,2014
104,Shrek Forever After,"$752,600,867 ","$238,736,787 ",31.70%,"$513,864,080 ",68.30%,2010
105,Madagascar 3: Europe's Most Wanted,"$746,921,274 ","$216,391,482 ",29%,"$530,529,792 ",71%,2012
106,Suicide Squad,"$746,846,894 ","$325,100,054 ",43.50%,"$421,746,840 ",56.50%,2016
107,X-Men: Days of Future Past,"$746,045,700 ","$233,921,534 ",31.40%,"$512,124,166 ",68.60%,2014
108,Frozen II,"$745,248,362 ","$292,033,026 ",39.20%,"$453,215,336 ",60.80%,2019
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115 ","$291,710,957 ",39.20%,"$453,302,158 ",60.80%,2005
110,Monsters University,"$743,559,607 ","$268,492,764 ",36.10%,"$475,066,843 ",63.90%,2013
111,Up,"$735,099,082 ","$293,004,164 ",39.90%,"$442,094,918 ",60.10%,2009
112,Gravity,"$723,192,705 ","$274,092,705 ",37.90%,"$449,100,000 ",62.10%,2013
