,Unnamed: 0,Unnamed: 0.1,Title,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,index,level_0,totalSeasons,Worldwide,Domestic,% Domestic,Foreign,% Foreign
0,,,The Age of Adaline,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn",1 win & 9 nominations.,N/A,"USA, Canada",8-Sep-15,Lee Toland Krieger,"Drama, Fantasy, Romance","English, Portuguese, Italian",51,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",https://m.media-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",24-Apr-15,TRUE,112 min,movie,N/A,"J. Mills Goodloe (screenplay by), Salvador Paskowitz (screenplay by), J. Mills Goodloe (screenplay), J. Mills Goodloe (story by), Salvador Paskowitz (story by)",2015,tt1655441,7.2,"142,815",,,,,,,,
0,,,King Arthur: Legend of the Sword,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",8 nominations.,"$39,037,047 ","UK, USA",8-Aug-17,Guy Ritchie,"Action, Adventure, Drama, Fantasy",English,41,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",https://m.media-amazon.com/images/M/MV5BMjM3ODY3Njc5Ml5BMl5BanBnXkFtZTgwMjQ5NjM5MTI@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",12-May-17,TRUE,126 min,movie,N/A,"Joby Harold (screenplay by), Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), David Dobkin (story by), Joby Harold (story by)",2017,tt1972591,6.7,"174,572",,,,,,,,
0,,,Pacific Rim: Uprising,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman",N/A,N/A,"UK, China, Japan, USA",19-Jun-18,Steven S. DeKnight,"Action, Adventure, Sci-Fi","English, Mandarin, Russian",44,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",https://m.media-amazon.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",23-Mar-18,TRUE,111 min,movie,N/A,"Steven S. DeKnight, Emily Carmichael, Kira Snyder, T.S. Nowlin, Travis Beacham (based on characters created by)",2018,tt2557478,5.6,"93,813",,,,,,,,
0,,,Unfinished Business,"Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller",1 nomination.,N/A,USA,16-Jun-15,Ken Scott,"Comedy, Drama",English,32,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable.",https://m.media-amazon.com/images/M/MV5BNGMwYjc3ZWEtNjMxNS00MzdkLWEwYWQtYWRkMDUwZWRhMjE5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",6-Mar-15,TRUE,91 min,movie,N/A,Steve Conrad,2015,tt2358925,5.4,"29,677",,,,,,,,
0,,,Split,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",8 wins & 19 nominations.,"$138,120,085 ","Japan, USA",18-Apr-17,M. Night Shyamalan,"Horror, Thriller",English,62,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",20-Jan-17,TRUE,117 min,movie,N/A,M. Night Shyamalan,2016,tt4972582,7.3,"380,558",,,,,,,,
0,,,Fantastic Four,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",3 wins & 12 nominations.,"$154,485,963 ","USA, Germany",6-Dec-05,Tim Story,"Action, Adventure, Fantasy, Sci-Fi",English,40,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",8-Jul-05,TRUE,106 min,movie,N/A,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",2005,tt0120667,5.7,"300,738",,,,,,,,
0,,,A Monster Calls,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell",38 wins & 51 nominations.,"$3,730,982 ","UK, Spain, USA",28-Mar-17,J.A. Bayona,"Animation, Drama, Fantasy",English,76,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,https://m.media-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_SX300.jpg,Focus Features,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",6-Jan-17,TRUE,108 min,movie,N/A,"Patrick Ness (screenplay by), Patrick Ness (based upon the novel written by), Siobhan Dowd (from an original idea by)",2016,tt3416532,7.5,"72,666",,,,,,,,
0,,,Den of Thieves,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",N/A,"$44,680,327 ",USA,24-Apr-18,Christian Gudegast,"Action, Crime, Drama, Mystery, Thriller","Spanish, English, Polynesian",49,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_SX300.jpg,STX Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",19-Jan-18,TRUE,140 min,movie,N/A,"Christian Gudegast (screenplay by), Christian Gudegast (story by), Paul Scheuring (story by)",2018,tt1259528,7,"74,978",,,,,,,,
0,,,Gods of Egypt,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",2 wins & 14 nominations.,"$31,141,074 ","USA, Australia, China",31-May-16,Alex Proyas,"Action, Adventure, Fantasy",English,25,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",https://m.media-amazon.com/images/M/MV5BNjExODg3MDUzNl5BMl5BanBnXkFtZTgwNjExMjE3NzE@._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",26-Feb-16,TRUE,127 min,movie,N/A,"Matt Sazama, Burk Sharpless",2016,tt2404233,5.4,"97,582",,,,,,,,
0,,,Triple 9,"Chiwetel Ejiofor, Casey Affleck, Anthony Mackie, Woody Harrelson",4 nominations.,N/A,USA,31-May-16,John Hillcoat,"Crime, Thriller","English, Spanish, Russian",52,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,https://m.media-amazon.com/images/M/MV5BMTU0NDcxMzczMV5BMl5BanBnXkFtZTgwODkxNTUwODE@._V1_SX300.jpg,Open Road Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",26-Feb-16,TRUE,115 min,movie,N/A,Matt Cook,2016,tt1712261,6.3,"61,618",,,,,,,,
