Rank,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
1,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ",30.70%,"$1,939,427,564 ",69.30%
2,The Lion King,"$1,656,310,290 ","$543,635,236 ",32.80%,"$1,112,675,054 ",67.20%
3,Spider-Man: Far from Home,"$1,131,927,996 ","$390,532,085 ",34.50%,"$741,395,911 ",65.50%
4,Captain Marvel,"$1,128,274,794 ","$426,829,839 ",37.80%,"$701,444,955 ",62.20%
5,Toy Story 4,"$1,073,392,661 ","$434,036,076 ",40.40%,"$639,356,585 ",59.60%
6,Aladdin,"$1,050,693,953 ","$355,559,216 ",33.80%,"$695,134,737 ",66.20%
7,Joker,"$1,049,054,740 ","$330,654,740 ",31.50%,"$718,400,000 ",68.50%
8,Fast & Furious Presents: Hobbs & Shaw,"$758,910,100 ","$173,810,100 ",22.90%,"$585,100,000 ",77.10%
9,Frozen II,"$745,248,362 ","$292,033,026 ",39.20%,"$453,215,336 ",60.80%
10,Ne Zha,"$700,547,754 ","$3,695,533 ",0.50%,"$696,852,221 ",99.50%
11,The Wandering Earth,"$699,760,773 ","$5,875,487 ",0.80%,"$693,885,286 ",99.20%
12,How to Train Your Dragon: The Hidden World,"$519,896,648 ","$160,799,505 ",30.90%,"$359,097,143 ",69.10%
13,Maleficent: Mistress of Evil,"$480,631,454 ","$111,615,883 ",23.20%,"$369,015,571 ",76.80%
14,It Chapter Two,"$470,289,082 ","$211,589,082 ",45%,"$258,700,000 ",55%
15,Pokémon Detective Pikachu,"$431,705,346 ","$144,105,346 ",33.40%,"$287,600,000 ",66.60%
16,The Secret Life of Pets 2,"$429,434,163 ","$158,257,265 ",36.90%,"$271,176,898 ",63.10%
17,"My People, My Country","$427,475,553 ","$2,356,683 ",0.60%,"$425,118,870 ",99.40%
18,The Captain,"$407,454,130 ","$706,572 ",0.20%,"$406,747,558 ",99.80%
19,Alita: Battle Angel,"$404,852,543 ","$85,710,210 ",21.20%,"$319,142,333 ",78.80%
20,Godzilla: King of the Monsters,"$385,900,138 ","$110,500,138 ",28.60%,"$275,400,000 ",71.40%
21,Once Upon a Time ... in Hollywood,"$371,950,710 ","$140,998,437 ",37.90%,"$230,952,273 ",62.10%
22,Shazam!,"$364,571,656 ","$140,371,656 ",38.50%,"$224,200,000 ",61.50%
23,Dumbo,"$353,284,621 ","$114,766,307 ",32.50%,"$238,518,314 ",67.50%
24,John Wick: Chapter 3 - Parabellum,"$326,685,953 ","$171,015,687 ",52.30%,"$155,670,266 ",47.70%
25,Us,"$255,105,930 ","$175,005,930 ",68.60%,"$80,100,000 ",31.40%
26,Men in Black: International,"$253,890,701 ","$80,001,807 ",31.50%,"$173,888,894 ",68.50%
